episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
1,1241.649999999964,2238,True,1241.649999999964,False
2,1412.049999999958,1594,True,1412.049999999958,False
3,1671.549999999939,2323,True,1671.549999999939,False
4,858.8999999999817,1715,True,858.8999999999817,False
5,1050.1499999999671,1613,True,1050.1499999999671,False
6,1374.3499999999492,1965,True,1374.3499999999492,False
7,1268.7499999999627,1659,True,1268.7499999999627,False
8,638.8999999998898,5743,True,638.8999999998898,False
9,883.4499999999807,889,True,883.4499999999807,False
10,1322.999999999962,1691,True,1322.999999999962,False
11,1664.3999999999398,2682,True,1664.3999999999398,False
12,2248.7000000000016,3991,True,2248.7000000000016,False
13,1034.7999999999377,3304,True,1034.7999999999377,False
14,1206.949999999945,2335,True,1206.949999999945,False
15,2139.950000000066,3608,True,2139.950000000066,False
16,1046.8999999999487,2500,True,1046.8999999999487,False
17,1738.2499999999168,3463,True,1738.2499999999168,False
18,1347.349999999935,3276,True,1347.349999999935,False
19,1073.0999999999513,4274,True,1073.0999999999513,False
20,928.5999999999722,1301,True,928.5999999999722,False
21,2396.500000000103,4829,True,2396.500000000103,False
22,1322.5999999999476,1897,True,1322.5999999999476,False
23,2038.8999999999864,2285,True,2038.8999999999864,False
24,2201.449999999978,4173,True,2201.449999999978,False
25,1539.4499999999555,2233,True,1539.4499999999555,False
1,1367.6999999999503,2366,True,1367.6999999999503,False
2,1222.7999999999643,1290,True,1222.7999999999643,False
3,868.049999999984,821,True,868.049999999984,False
4,784.4499999999787,1279,True,784.4499999999787,False
5,1745.599999999934,2678,True,1745.599999999934,False
6,495.2499999999969,485,True,495.2499999999969,False
7,1118.249999999951,3266,True,1118.249999999951,False
8,1196.599999999975,1343,True,1196.599999999975,False
9,829.9499999999782,1469,True,829.9499999999782,False
10,871.0499999999788,1027,True,871.0499999999788,False
11,1487.8999999999482,3627,True,1487.8999999999482,False
12,2194.6999999999794,4010,True,2194.6999999999794,False
13,1749.0999999999617,3998,True,1749.0999999999617,False
14,1937.9999999999561,3219,True,1937.9999999999561,False
15,1861.0499999999506,4731,True,1861.0499999999506,False
16,1614.1999999999418,1864,True,1614.1999999999418,False
17,2033.899999999979,3398,True,2033.899999999979,False
18,1330.699999999935,3263,True,1330.699999999935,False
19,786.2999999999695,2839,True,786.2999999999695,False
20,878.049999999982,821,True,878.049999999982,False
21,1588.6999999999564,2298,True,1588.6999999999564,False
